beer_name_key,avg_score,phone,brewery_key,phone_key,bros_score,city,brewery_name,state,style_name,abv,ratings_count,style_key,beer_name
63779,3.69,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Double / Imperial Stout,10.00,79,157,Ale Epeteios
90875,3.31,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Double / Imperial Stout,10.00,3,157,Ale Epeteios - Port Barrel Aged
47726,3.45,(949) 218-3967,10046,9492183967,80,San Clemente,Left Coast Brewing Company,CA,Tripel,11.00,303,58,Asylum
90873,3.93,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Baltic Porter,6.90,5,80,Baltic Porter
110779,3.33,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Berliner Weissbier,3.00,3,87,Bandwagon
186692,3.66,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Double / Imperial Stout,10.00,1,157,Barrel Aged Ale Epeteios - Bourbon And Rye
204769,4.35,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Double / Imperial Stout,10.00,1,157,Barrel Aged Ale Epeteios With Cherries
191446,,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Double / Imperial Stout,11.80,1,157,BBA Asylum With Coffee
90868,3.84,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Double / Imperial Stout,9.50,3,157,Beer Trooper
71782,3.63,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Saison / Farmhouse Ale,7.80,42,129,Board Walk
110813,3.17,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Amber / Red Ale,10.80,3,128,Coral Reef
120125,3.45,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Dortmunder / Export Lager,5.00,22,20,Del Mar St.
117292,3.69,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American IPA,9.70,25,116,Hop Juice
204772,,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Double / Imperial IPA,8.40,0,140,IPA Time
38941,3.9,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Stout,6.70,48,158,Left Coast Black Magic Stout
38515,3.55,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Double / Imperial IPA,9.70,895,140,Left Coast Hop Juice
19448,3.55,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American IPA,6.90,37,116,Left Coast IPA
56642,3.5,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Fruit / Vegetable Beer,,1,9,Left Coast Pumpkin
56645,3.54,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Belgian Strong Pale Ale,8.50,2,55,Left Coast Sanctuary
64473,3.98,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Black Ale,7.20,75,175,Left Coast The Wedge
18541,3.48,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Vienna Lager,6.40,82,30,Left Coast Una Mas Amber Lager
44011,3.7,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Scottish Ale,5.00,12,68,Left Coast's Scottish Ale
204767,,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American IPA,4.80,0,116,Nuclear Chi Chi's
169655,,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American IPA,7.10,2,116,Orange County I.P.A
110816,4.25,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Pale Lager,7.20,1,155,Perfect Day
110818,3.13,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Fruit / Vegetable Beer,6.00,2,9,Pink Bikini
90870,3.46,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Belgian Dark Ale,7.10,18,119,Red Tide
90872,3.68,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American IPA,7.00,1,116,Rye IPA
