ba_bros_val,ba_avg_score,ba_style,ba_brewery_name,ba_phone_key,ba_beer_name,ba_brewery_city,ba_brewery_state,ba_brewery_name_key,ba_abv,ba_phone,ba_ratings_count
-,3.74,American Blonde Ale,101 North Brewing Company,7077788384,Golden Naked Ale,Petaluma,CA,101_North_Brewing_Company,5.30,(707) 778-8384,18
-,3.57,American IPA,101 North Brewing Company,7077788384,Heroine India Pale Ale,Petaluma,CA,101_North_Brewing_Company,7.20,(707) 778-8384,103
-,4.08,American Double / Imperial IPA,101 North Brewing Company,7077788384,High Gravity India Pale Ale,Petaluma,CA,101_North_Brewing_Company,9.20,(707) 778-8384,10
-,4.02,Russian Imperial Stout,101 North Brewing Company,7077788384,Naughty Aud,Petaluma,CA,101_North_Brewing_Company,8.50,(707) 778-8384,18
-,4.08,Rye Beer,101 North Brewing Company,7077788384,Stigmata Red Rye Ale,Petaluma,CA,101_North_Brewing_Company,6.90,(707) 778-8384,17
90,3.82,American IPA,21st Amendment Brewery,4153690900,21st Amendment IPA,San Francisco,CA,21st_Amendment_Brewery,7.00,(415) 369-0900,2302
-,3.97,American Pale Ale (APA),21st Amendment Brewery,4153690900,5-South,San Francisco,CA,21st_Amendment_Brewery,6.00,(415) 369-0900,32
-,3.76,American Amber / Red Ale,21st Amendment Brewery,4153690900,Amber Waves,San Francisco,CA,21st_Amendment_Brewery,5.40,(415) 369-0900,18
72,3.68,American Black Ale,21st Amendment Brewery,4153690900,Back In Black,San Francisco,CA,21st_Amendment_Brewery,6.80,(415) 369-0900,2267
-,3.94,American IPA,21st Amendment Brewery,4153690900,Batch #0001,San Francisco,CA,21st_Amendment_Brewery,7.20,(415) 369-0900,12
-,3.83,Belgian IPA,21st Amendment Brewery,4153690900,Beast Of Burden,San Francisco,CA,21st_Amendment_Brewery,9.90,(415) 369-0900,3
-,-,American Double / Imperial IPA,21st Amendment Brewery,4153690900,"Beer ""Rye""volution",San Francisco,CA,21st_Amendment_Brewery,9.00,(415) 369-0900,5
-,3.89,American Black Ale,21st Amendment Brewery,4153690900,Bike Lane Hopper,San Francisco,CA,21st_Amendment_Brewery,9.60,(415) 369-0900,8
-,3.85,American IPA,21st Amendment Brewery,4153690900,Brew Free Or Die IPA,San Francisco,CA,21st_Amendment_Brewery,7.00,(415) 369-0900,814
-,2.38,American Double / Imperial Stout,21st Amendment Brewery,4153690900,California Love,San Francisco,CA,21st_Amendment_Brewery,8.40,(415) 369-0900,2
-,3.88,American Double / Imperial IPA,21st Amendment Brewery,4153690900,California Love Oaked Imperial Red Ale,San Francisco,CA,21st_Amendment_Brewery,8.40,(415) 369-0900,2
-,2.85,Extra Special / Strong Bitter (ESB),21st Amendment Brewery,4153690900,Churchyard,San Francisco,CA,21st_Amendment_Brewery,7.80,(415) 369-0900,2
-,3.77,American Blonde Ale,21st Amendment Brewery,4153690900,Conventioneer,San Francisco,CA,21st_Amendment_Brewery,5.00,(415) 369-0900,3
-,-,American IPA,21st Amendment Brewery,4153690900,Dankopotamus,San Francisco,CA,21st_Amendment_Brewery,6.80,(415) 369-0900,1
-,4.22,American Brown Ale,21st Amendment Brewery,4153690900,Devil's Friend,San Francisco,CA,21st_Amendment_Brewery,7.50,(415) 369-0900,3
-,3.86,American IPA,21st Amendment Brewery,4153690900,Down To Earth Session IPA,San Francisco,CA,21st_Amendment_Brewery,4.40,(415) 369-0900,317
-,-,American Pale Ale (APA),21st Amendment Brewery,4153690900,Dr. Frudi,San Francisco,CA,21st_Amendment_Brewery,5.60,(415) 369-0900,3
-,3.59,Belgian Strong Dark Ale,21st Amendment Brewery,4153690900,Drunken Monk Ale,San Francisco,CA,21st_Amendment_Brewery,8.30,(415) 369-0900,16
-,3.67,American Double / Imperial IPA,21st Amendment Brewery,4153690900,Dub Step IPA,San Francisco,CA,21st_Amendment_Brewery,10.20,(415) 369-0900,18
-,3.87,American IPA,21st Amendment Brewery,4153690900,Early Spring IPA,San Francisco,CA,21st_Amendment_Brewery,6.40,(415) 369-0900,3
-,3.35,American Adjunct Lager,21st Amendment Brewery,4153690900,El Sully,San Francisco,CA,21st_Amendment_Brewery,4.80,(415) 369-0900,36
80,3.42,Winter Warmer,21st Amendment Brewery,4153690900,Fireside Chat,San Francisco,CA,21st_Amendment_Brewery,7.90,(415) 369-0900,1181
-,3.79,American IPA,21st Amendment Brewery,4153690900,Gigantes,San Francisco,CA,21st_Amendment_Brewery,7.00,(415) 369-0900,41
-,4.15,Tripel,21st Amendment Brewery,4153690900,Good Things,San Francisco,CA,21st_Amendment_Brewery,8.00,(415) 369-0900,3
-,4,American Pale Ale (APA),21st Amendment Brewery,4153690900,Grampa's Trike,San Francisco,CA,21st_Amendment_Brewery,5.20,(415) 369-0900,1
