ba_brewery_state,ba_bros_val,ba_avg_score,ba_abv,ba_style,ba_phone,ba_brewery_name,ba_phone_key,ba_beer_name,ba_ratings_count,ba_brewery_city
CA,90,3.82,7.00,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,21st Amendment IPA,"2,302",San Francisco
CA,-,3.97,6.00,American Pale Ale (APA),(415) 369-0900,21st Amendment Brewery,4153690900,5-South,32,San Francisco
CA,-,3.76,5.40,American Amber / Red Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Amber Waves,18,San Francisco
CA,72,3.68,6.80,American Black Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Back In Black,"2,267",San Francisco
CA,-,3.94,7.20,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Batch #0001,12,San Francisco
CA,-,3.83,9.90,Belgian IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Beast Of Burden,3,San Francisco
CA,-,-,9.00,American Double / Imperial IPA,(415) 369-0900,21st Amendment Brewery,4153690900,"Beer ""Rye""volution",5,San Francisco
CA,-,3.89,9.60,American Black Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Bike Lane Hopper,8,San Francisco
CA,-,3.85,7.00,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Brew Free Or Die IPA,814,San Francisco
CA,-,2.38,8.40,American Double / Imperial Stout,(415) 369-0900,21st Amendment Brewery,4153690900,California Love,2,San Francisco
CA,-,3.88,8.40,American Double / Imperial IPA,(415) 369-0900,21st Amendment Brewery,4153690900,California Love Oaked Imperial Red Ale,2,San Francisco
CA,-,2.85,7.80,Extra Special / Strong Bitter (ESB),(415) 369-0900,21st Amendment Brewery,4153690900,Churchyard,2,San Francisco
CA,-,3.77,5.00,American Blonde Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Conventioneer,3,San Francisco
CA,-,-,6.80,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Dankopotamus,1,San Francisco
CA,-,4.22,7.50,American Brown Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Devil's Friend,3,San Francisco
CA,-,3.86,4.40,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Down To Earth Session IPA,317,San Francisco
CA,-,-,5.60,American Pale Ale (APA),(415) 369-0900,21st Amendment Brewery,4153690900,Dr. Frudi,3,San Francisco
CA,-,3.59,8.30,Belgian Strong Dark Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Drunken Monk Ale,16,San Francisco
CA,-,3.67,10.20,American Double / Imperial IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Dub Step IPA,18,San Francisco
CA,-,3.87,6.40,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Early Spring IPA,3,San Francisco
CA,-,3.35,4.80,American Adjunct Lager,(415) 369-0900,21st Amendment Brewery,4153690900,El Sully,36,San Francisco
CA,80,3.42,7.90,Winter Warmer,(415) 369-0900,21st Amendment Brewery,4153690900,Fireside Chat,"1,181",San Francisco
CA,-,3.79,7.00,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Gigantes,41,San Francisco
CA,-,4.15,8.00,Tripel,(415) 369-0900,21st Amendment Brewery,4153690900,Good Things,3,San Francisco
CA,-,4,5.20,American Pale Ale (APA),(415) 369-0900,21st Amendment Brewery,4153690900,Grampa's Trike,1,San Francisco
CA,-,3.96,6.40,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Harvest Moon,16,San Francisco
CA,80,3.72,8.20,Baltic Porter,(415) 369-0900,21st Amendment Brewery,4153690900,He Said (Baltic Porter),489,San Francisco
CA,90,3.79,8.20,Tripel,(415) 369-0900,21st Amendment Brewery,4153690900,He Said (Tripel),477,San Francisco
CA,80,3.29,4.90,Fruit / Vegetable Beer,(415) 369-0900,21st Amendment Brewery,4153690900,Hell Or High Watermelon Wheat Beer,"2,515",San Francisco
CA,-,3.18,9.30,American Double / Imperial Stout,(415) 369-0900,21st Amendment Brewery,4153690900,Hendrik's Russian Imperial Stout,14,San Francisco
CA,87,3.97,9.70,American Double / Imperial IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Hop Crisis,"1,581",San Francisco
CA,-,3.64,6.10,American Pale Ale (APA),(415) 369-0900,21st Amendment Brewery,4153690900,Hopduster,3,San Francisco
CA,-,3.75,6.20,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Hops For Heroes: Homefront IPA,1,San Francisco
CA,-,3.78,8.30,Extra Special / Strong Bitter (ESB),(415) 369-0900,21st Amendment Brewery,4153690900,Lord And Master,3,San Francisco
CA,-,3.75,11.50,American Barleywine,(415) 369-0900,21st Amendment Brewery,4153690900,Lower De Boom Barleywine,672,San Francisco
CA,-,3.91,7.90,English Stout,(415) 369-0900,21st Amendment Brewery,4153690900,Marooned On Hog Island,438,San Francisco
CA,-,-,4.40,American Stout,(415) 369-0900,21st Amendment Brewery,4153690900,MCA Stout,14,San Francisco
CA,-,3.6,5.70,American Amber / Red Lager,(415) 369-0900,21st Amendment Brewery,4153690900,Megra Nodelo,3,San Francisco
CA,-,3.8,8.30,Belgian Strong Dark Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Monk's Blood,"1,339",San Francisco
CA,-,3.91,10.50,American Double / Imperial IPA,(415) 369-0900,21st Amendment Brewery,4153690900,"Nelson, Jade And Helga",4,San Francisco
CA,-,3.72,5.80,American Pale Ale (APA),(415) 369-0900,21st Amendment Brewery,4153690900,NorCal Middle-Earth,2,San Francisco
CA,-,4.1,7.10,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,OG IPA,1,San Francisco
CA,-,3.8,7.30,American Strong Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Old Glory,11,San Francisco
CA,-,3.44,4.90,English Stout,(415) 369-0900,21st Amendment Brewery,4153690900,Oyster Point Oyster Stout,38,San Francisco
CA,-,3.75,7.60,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Personality Crisis IPA,1,San Francisco
CA,-,-,9.50,American Strong Ale,(415) 369-0900,21st Amendment Brewery,4153690900,POHW,0,San Francisco
CA,-,-,7.50,American IPA,(415) 369-0900,21st Amendment Brewery,4153690900,Red Dwarf,2,San Francisco
CA,-,3.63,11.00,American Strong Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Red Giant,3,San Francisco
CA,-,3.5,12.80,American Strong Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Red Titan,1,San Francisco
CA,-,-,5.10,Witbier,(415) 369-0900,21st Amendment Brewery,4153690900,San Leandro Cherry Wheat,2,San Francisco
CA,83,3.57,6.20,Saison / Farmhouse Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Sneak Attack Saison,569,San Francisco
CA,-,3.54,5.10,American Blonde Ale,(415) 369-0900,21st Amendment Brewery,4153690900,South Park Blonde,31,San Francisco
CA,-,4.06,5.60,American Pale Ale (APA),(415) 369-0900,21st Amendment Brewery,4153690900,Springtime For Hallertau,2,San Francisco
CA,-,-,5.40,American Porter,(415) 369-0900,21st Amendment Brewery,4153690900,Starry Night,1,San Francisco
CA,-,3.38,5.50,American Pale Wheat Ale,(415) 369-0900,21st Amendment Brewery,4153690900,The White Flame,2,San Francisco
CA,-,3.99,7.60,American Amber / Red Ale,(415) 369-0900,21st Amendment Brewery,4153690900,Toaster Pastry,353,San Francisco
CA,-,-,6.50,Fruit / Vegetable Beer,(415) 369-0900,21st Amendment Brewery,4153690900,Two Rivers Cider,1,San Francisco
CA,-,3.82,4.80,English Bitter,(415) 369-0900,21st Amendment Brewery,4153690900,Wild & Scenic,2,San Francisco
CA,-,3.85,9.00,Tripel,,Almanac Beer Co.,,Almanac Emperor Norton,60,San Francisco
CA,-,3.83,7.50,American IPA,,Almanac Beer Co.,,Almanac IPA,224,San Francisco
CA,-,3.88,10.00,American Double / Imperial Stout,,Almanac Beer Co.,,Barbary Coast,27,San Francisco
CA,-,3.66,5.60,American Porter,,Almanac Beer Co.,,Biere De Chocolat,209,San Francisco
CA,-,4.25,7.00,American Wild Ale,,Almanac Beer Co.,,Citra Sour,183,San Francisco
CA,-,4.13,10.00,American Double / Imperial Stout,,Almanac Beer Co.,,Cognac Barrel Noir,37,San Francisco
CA,-,4.43,10.50,American Wild Ale,,Almanac Beer Co.,,Dogpatch Grand Cru,12,San Francisco
CA,-,4.16,7.50,American Wild Ale,,Almanac Beer Co.,,Dogpatch Sour,"1,036",San Francisco
CA,-,4.1,9.00,American Double / Imperial IPA,,Almanac Beer Co.,,Don't Call It Frisco! Double IPA,15,San Francisco
CA,-,-,6.50,Saison / Farmhouse Ale,,Almanac Beer Co.,,Elephant Heart De Brettaville,0,San Francisco
CA,-,3.55,6.00,Belgian Pale Ale,,Almanac Beer Co.,,Extra Pale Ale,155,San Francisco
CA,-,4.08,7.00,American Wild Ale,,Almanac Beer Co.,,Farmer's Reserve Blackberry,498,San Francisco
CA,-,4.12,7.00,American Wild Ale,,Almanac Beer Co.,,Farmer's Reserve Blueberry,287,San Francisco
CA,-,4.15,7.00,American Wild Ale,,Almanac Beer Co.,,Farmer's Reserve Citrus,42,San Francisco
CA,-,4.17,7.00,American Wild Ale,,Almanac Beer Co.,,Farmer's Reserve Pluot,633,San Francisco
CA,-,4.05,7.00,American Wild Ale,,Almanac Beer Co.,,Farmers Reserve Blackberry,9,San Francisco
CA,-,4.11,7.00,American Wild Ale,,Almanac Beer Co.,,Farmers Reserve Citrus,578,San Francisco
CA,-,4.23,10.20,American Wild Ale,,Almanac Beer Co.,,Farmer’s Reserve Grand Cru,12,San Francisco
CA,-,3.66,7.50,American IPA,,Almanac Beer Co.,,Fresh Hop IPA - Chinook,72,San Francisco
CA,-,3.66,5.00,Gose,,Almanac Beer Co.,,Ginger Gose,12,San Francisco
CA,-,3.78,5.00,Gose,,Almanac Beer Co.,,Golden Gate Gose,602,San Francisco
CA,-,-,11.00,American Double / Imperial Stout,,Almanac Beer Co.,,Grab Some Oak,1,San Francisco
CA,-,4.19,12.00,American Barleywine,,Almanac Beer Co.,,Heirloom Pumpkin Barleywine,797,San Francisco
CA,-,3.48,4.80,Saison / Farmhouse Ale,,Almanac Beer Co.,,Honey Saison,170,San Francisco
CA,-,4.1,7.00,American Wild Ale,,Almanac Beer Co.,,Hoppy Sour: Mandarina,41,San Francisco
CA,-,-,7.00,American Wild Ale,,Almanac Beer Co.,,Hoppy Sour: Mosaic,0,San Francisco
CA,-,3.75,6.50,Oatmeal Stout,,Almanac Beer Co.,,Horchata Almond Milk Stout,17,San Francisco
CA,-,4.18,10.00,American Double / Imperial Stout,,Almanac Beer Co.,,Imperial Chocolate Stout,24,San Francisco
CA,-,3.79,9.00,American Stout,,Almanac Beer Co.,,Lazy Bear Honeypot Stout,11,San Francisco
CA,-,3.71,5.00,Gose,,Almanac Beer Co.,,Meyer Lemon Gose,23,San Francisco
CA,-,3.82,9.50,Quadrupel (Quad),,Almanac Beer Co.,,Paris Of The West,46,San Francisco
CA,-,4.32,6.50,American Wild Ale,,Almanac Beer Co.,,Peach De Brettaville,41,San Francisco
CA,-,-,4.30,Saison / Farmhouse Ale,,Almanac Beer Co.,,Petite Citra Saison,2,San Francisco
CA,-,4.15,8.50,American Wild Ale,,Almanac Beer Co.,,Pumpkin Sour,95,San Francisco
CA,-,-,7.00,American Wild Ale,,Almanac Beer Co.,,Rum Barrel Peche,0,San Francisco
CA,-,4.14,7.20,Saison / Farmhouse Ale,,Almanac Beer Co.,,Saison De Brettaville,69,San Francisco
CA,-,3.81,6.80,Saison / Farmhouse Ale,,Almanac Beer Co.,,Saison Dolores,167,San Francisco
CA,-,4.32,7.00,American Wild Ale,,Almanac Beer Co.,,Simcoe Sour,88,San Francisco
CA,-,3.34,6.50,American IPA,,Almanac Beer Co.,,Single Origin IPA,11,San Francisco
CA,-,3.94,10.00,American Double / Imperial Stout,,Almanac Beer Co.,,Tequila Barrel Noir,142,San Francisco
CA,-,4.33,9.00,American Wild Ale,,Almanac Beer Co.,,Truthful Statement,21,San Francisco
CA,-,3.63,8.50,Belgian Strong Pale Ale,,Almanac Beer Co.,,Valencia Gold,70,San Francisco
CA,-,4.25,7.00,American Wild Ale,,Almanac Beer Co.,,Valley Of The Heart's Delight,680,San Francisco
CA,-,4.05,7.00,American Wild Ale,,Almanac Beer Co.,,Wakatu Sour,81,San Francisco
CA,-,-,9.00,American Double / Imperial Stout,,Almanac Beer Co.,,Whiskey Barrel Wild Ale,0,San Francisco
CA,-,3.94,7.50,American Brown Ale,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Argonaut Collection: Anchor Barrel Ale,27,San Francisco
CA,-,4.11,8.20,American Double / Imperial IPA,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Argonaut Collection: Double Liberty IPA,15,San Francisco
CA,-,4.01,7.40,Foreign / Export Stout,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Argonaut Collection: Flying Cloud San Francisco Stout,171,San Francisco
CA,85,3.63,6.00,American Amber / Red Ale,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor BigLeaf Maple Autumn Red,941,San Francisco
CA,67,3.73,5.50,Bock,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Bock Beer,986,San Francisco
CA,-,3.74,6.00,Fruit / Vegetable Beer,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Brewing Zymaster® Series No. 8: Luxardo® Cherry Ale,15,San Francisco
CA,90,3.74,4.90,American Pale Lager,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor California Lager,"1,009",San Francisco
CA,-,3.78,8.20,American Double / Imperial IPA,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Double Liberty,93,San Francisco
CA,-,3.76,5.90,American Pale Ale (APA),(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Humming Ale,659,San Francisco
CA,-,3.67,6.50,American IPA,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor IPA,"1,059",San Francisco
CA,89,3.93,5.90,American IPA,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Liberty Ale,"3,291",San Francisco
CA,-,-,5.10,Märzen / Oktoberfest,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Oktoberfest,1,San Francisco
CA,84,3.93,10.00,English Barleywine,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Old Foghorn,"1,895",San Francisco
CA,-,4.15,7.50,American Strong Ale,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Our Barrel Ale,83,San Francisco
CA,98,4.1,5.60,American Porter,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Porter,"3,518",San Francisco
CA,-,3.58,7.20,Saison / Farmhouse Ale,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Saison Spring Ale,258,San Francisco
CA,70,3.12,3.30,English Bitter,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Small Beer,448,San Francisco
CA,94,3.85,4.90,California Common / Steam Beer,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Steam Beer,"5,613",San Francisco
CA,83,3.38,4.60,American Pale Wheat Ale,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Summer Beer,"1,291",San Francisco
CA,-,3.4,4.50,American Pale Wheat Ale,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Summer Wheat,102,San Francisco
CA,-,3.84,7.00,American Dark Wheat Ale,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Winter Wheat,278,San Francisco
CA,-,3.51,4.00,English Dark Mild Ale,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor Zymaster Series No.2: Mark's Mild,39,San Francisco
CA,-,3.63,4.50,American Pale Lager,(415) 863-8350,Anchor Brewing Company,4158638350,Anchor’s Meyer Lemon Lager,14,San Francisco
CA,-,3.69,6.00,American Brown Ale,(415) 863-8350,Anchor Brewing Company,4158638350,Brekle's Brown,819,San Francisco
CA,88,3.81,5.60,California Common / Steam Beer,(415) 863-8350,Anchor Brewing Company,4158638350,Brotherhood Steam,177,San Francisco
CA,-,3.55,5.30,Kölsch,(415) 863-8350,Anchor Brewing Company,4158638350,California Uncommon,3,San Francisco
CA,-,3.53,4.90,California Common / Steam Beer,(415) 863-8350,Anchor Brewing Company,4158638350,Dry Hopped Steam Beer,4,San Francisco
CA,-,-,6.70,American IPA,(415) 863-8350,Anchor Brewing Company,4158638350,Go West! IPA,0,San Francisco
CA,-,-,4.50,Fruit / Vegetable Beer,(415) 863-8350,Anchor Brewing Company,4158638350,Mango Wheat,0,San Francisco
CA,-,3.8,5.50,Winter Warmer,(415) 863-8350,Anchor Brewing Company,4158638350,Our Special Ale 2015 (Anchor Christmas Ale),296,San Francisco
CA,-,-,7.80,Belgian Dark Ale,(415) 745-2739,Armstrong Brewing Co.,4157452739,415 FOG,0,South San Francisco
CA,-,-,7.80,American Stout,(415) 745-2739,Armstrong Brewing Co.,4157452739,B & W Coffee Stout,0,South San Francisco
CA,-,-,7.10,Dubbel,(415) 745-2739,Armstrong Brewing Co.,4157452739,Belgian Dubbel,0,South San Francisco
CA,-,-,7.20,Dunkelweizen,(415) 745-2739,Armstrong Brewing Co.,4157452739,Dunkelweizen,0,South San Francisco
CA,-,-,5.40,Extra Special / Strong Bitter (ESB),(415) 745-2739,Armstrong Brewing Co.,4157452739,ESB,0,South San Francisco
CA,-,-,4.80,Gose,(415) 745-2739,Armstrong Brewing Co.,4157452739,Moe's Gose,0,South San Francisco
CA,-,-,6.50,American Porter,(415) 745-2739,Armstrong Brewing Co.,4157452739,Porter,0,South San Francisco
CA,-,-,6.30,Pumpkin Ale,(415) 745-2739,Armstrong Brewing Co.,4157452739,Pumpkin Ale,0,South San Francisco
CA,-,-,5.40,English Brown Ale,(415) 745-2739,Armstrong Brewing Co.,4157452739,So. City Brown,0,South San Francisco
CA,-,-,6.20,American IPA,(415) 416-6989,Barrel Head Brewhouse,4154166989,America's Next Hop Model Wet IPA,0,San Francisco
CA,-,3.38,6.30,Schwarzbier,(415) 416-6989,Barrel Head Brewhouse,4154166989,Black Kolsch,2,San Francisco
CA,-,-,5.20,American Brown Ale,(415) 416-6989,Barrel Head Brewhouse,4154166989,Doc Brown,0,San Francisco
CA,-,3.63,6.30,American Wild Ale,(415) 416-6989,Barrel Head Brewhouse,4154166989,Fruit Fly,2,San Francisco
CA,-,4.18,8.40,American Double / Imperial IPA,(415) 416-6989,Barrel Head Brewhouse,4154166989,Golden Noodle IPA,1,San Francisco
CA,-,3.12,?,American Porter,(415) 416-6989,Barrel Head Brewhouse,4154166989,Icarus' Porter,1,San Francisco
CA,-,-,7.40,Flanders Oud Bruin,(415) 416-6989,Barrel Head Brewhouse,4154166989,ODB (Oud Dirty Bruin) Sour,0,San Francisco
CA,-,-,6.50,American Pale Ale (APA),(415) 416-6989,Barrel Head Brewhouse,4154166989,Pine Meat Fresh Hop Ale,0,San Francisco
CA,-,3.25,?,Saison / Farmhouse Ale,(415) 416-6989,Barrel Head Brewhouse,4154166989,Simon Says Persimmon Saison,1,San Francisco
CA,-,3.97,6.80,Winter Warmer,(415) 416-6989,Barrel Head Brewhouse,4154166989,Spruce Moose Winter Ale,1,San Francisco
CA,-,3.38,?,Czech Pilsener,(415) 416-6989,Barrel Head Brewhouse,4154166989,UltraMagnetic MCPs (Mic-Czechin Pils),2,San Francisco
CA,-,-,5.00,Czech Pilsener,(415) 433-4332,Bartlett Hall,4154334332,5 Ton Hook West Coast Pils,0,San Francisco
CA,-,4.32,6.60,American IPA,(415) 433-4332,Bartlett Hall,4154334332,Angel Island IPA,3,San Francisco
CA,-,4.05,6.10,English Pale Ale,(415) 433-4332,Bartlett Hall,4154334332,Balcutha,1,San Francisco
CA,-,-,4.80,American Blonde Ale,(415) 433-4332,Bartlett Hall,4154334332,Bartlett Blonde,2,San Francisco
CA,-,-,?,American IPA,(415) 433-4332,Bartlett Hall,4154334332,Flower Shop IPA,0,San Francisco
CA,-,-,6.00,Belgian IPA,(415) 433-4332,Bartlett Hall,4154334332,From A To Z Belgian IPA,0,San Francisco
CA,-,3.68,4.70,Kellerbier / Zwickelbier,(415) 433-4332,Bartlett Hall,4154334332,Galaxy 415,1,San Francisco
CA,-,4.06,4.20,American Pale Wheat Ale,(415) 433-4332,Bartlett Hall,4154334332,Hoppy Hills,1,San Francisco
CA,-,4.03,5.60,American Pale Ale (APA),(415) 433-4332,Bartlett Hall,4154334332,Potrero Point Pale Ale,2,San Francisco
CA,-,-,5.50,American Pale Wheat Ale,(415) 433-4332,Bartlett Hall,4154334332,Stone Head Wheat,0,San Francisco
CA,-,-,?,American Brown Ale,(415) 433-4332,Bartlett Hall,4154334332,Treasure Island Brown Ale,0,San Francisco
CA,-,-,5.10,English Bitter,(415) 433-4332,Bartlett Hall,4154334332,Turbulent ESB,0,San Francisco
CA,-,4.36,?,Dubbel,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Backwater Belgian Dubbel,1,San Francisco
CA,-,3.1,4.90,Hefeweizen,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Bavarian Hefeweizen,6,San Francisco
CA,-,3.3,5.30,American Pale Ale (APA),(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,California Kind Pale Ale,13,San Francisco
CA,-,-,5.60,Roggenbier,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Catcher In The Roggenbier,0,San Francisco
CA,-,4.06,?,American Porter,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Chocolate Porter,1,San Francisco
CA,-,3.67,5.00,Extra Special / Strong Bitter (ESB),(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Elevation ESB,2,San Francisco
CA,-,3.62,5.60,American Stout,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Fleishhacker Stout,9,San Francisco
CA,-,2.14,5.00,English Brown Ale,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Fogtown Brown,2,San Francisco
CA,-,3.38,4.80,Fruit / Vegetable Beer,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Golden Apricot Ale,1,San Francisco
CA,-,3.41,5.60,American Porter,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Golden Gate Park Porter,5,San Francisco
CA,-,-,5.20,American Pale Ale (APA),(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Harvest Pale Ale,0,San Francisco
CA,-,-,4.10,Hefeweizen,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,High Tide Hefeweizen,0,San Francisco
CA,-,3,?,American Pale Wheat Ale,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Honey Wheat,1,San Francisco
CA,-,3,5.70,American Pale Ale (APA),(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Magnum Pale Ale,1,San Francisco
CA,-,3.5,5.40,American Pale Ale (APA),(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Mt Hood Pale Ale,1,San Francisco
CA,-,3.28,5.80,Märzen / Oktoberfest,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Ocean Beach Oktoberfest,4,San Francisco
CA,-,3.75,5.60,American Stout,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Oyster Stout,1,San Francisco
CA,-,3.54,6.80,American IPA,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Presidio India Pale Ale,22,San Francisco
CA,-,-,?,Pumpkin Ale,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Pumpkin Spice Ale,0,San Francisco
CA,-,3.52,5.60,American Amber / Red Ale,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Riptide Red Ale,19,San Francisco
CA,-,2,5.80,American Porter,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Robust Porter,1,San Francisco
CA,-,4.09,?,Saison / Farmhouse Ale,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Saison Du Chalet De Plage,4,San Francisco
CA,-,3.71,5.30,Scottish Ale,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Smokey The Beer,3,San Francisco
CA,-,2.99,4.80,American Pale Wheat Ale,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,Spiced Wheat Ale,1,San Francisco
CA,-,2.72,4.80,American Pale Ale (APA),(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,V.F.W. Light,11,San Francisco
CA,-,3.4,4.90,American Pale Wheat Ale,(415) 386-8439,Beach Chalet Brewery and Restaurant,4153868439,West End Wheat,3,San Francisco
CA,-,3.66,3.20,Berliner Weissbier,(415) 758-2223,Black Hammer Brewing,4157582223,Sunrise Set,2,San Francisco
CA,-,-,5.00,American Brown Ale,(415) 534-5194,Black Sands,4155345194,Altered Earth,0,San Francisco
CA,-,4.76,8.00,American Double / Imperial IPA,(415) 534-5194,Black Sands,4155345194,Brutalist Monolith,1,San Francisco
CA,-,-,6.50,Saison / Farmhouse Ale,(415) 534-5194,Black Sands,4155345194,Crushing Tide,0,San Francisco
CA,-,-,3.50,Saison / Farmhouse Ale,(415) 534-5194,Black Sands,4155345194,Empire,0,San Francisco
CA,-,-,8.50,Milk / Sweet Stout,(415) 534-5194,Black Sands,4155345194,Imperial Coconut Cream Stout,0,San Francisco
CA,-,3.67,4.80,Saison / Farmhouse Ale,(415) 534-5194,Black Sands,4155345194,Lady Adelaide,1,San Francisco
CA,-,-,5.50,Milk / Sweet Stout,(415) 534-5194,Black Sands,4155345194,Oil As Embers,0,San Francisco
CA,-,3.68,5.00,American Pale Wheat Ale,(415) 534-5194,Black Sands,4155345194,Polar Vortex,3,San Francisco
CA,-,3.71,6.00,Schwarzbier,(415) 534-5194,Black Sands,4155345194,Schwazbier,1,San Francisco
CA,-,-,6.00,American Black Ale,(415) 534-5194,Black Sands,4155345194,Son Of Man,0,San Francisco
CA,-,-,5.80,American Pale Ale (APA),(415) 863-3940,Cellarmaker Brewing Co.,4158633940,7 Wonders,7,San Francisco
